filename,class,bbox
004391.png,Car,"[673.82, 182.51, 760.15, 242.11]"
003954.png,Pedestrian,"[374.71, 155.77, 425.4, 300.99]"
002892.png,Pedestrian,"[720.58, 161.06, 804.81, 298.85]"
006073.png,Car,"[708.98, 177.97, 731.03, 197.66]"
002171.png,Car,"[601.65, 171.69, 637.74, 199.9]"
006179.png,Car,"[626.56, 173.73, 664.73, 208.73]"
003229.png,DontCare,"[676.85, 168.45, 692.62, 191.95]"
004119.png,Car,"[0.0, 180.16, 122.37, 245.37]"
006909.png,DontCare,"[552.27, 173.98, 566.89, 208.4]"
005473.png,Car,"[364.07, 178.18, 405.04, 201.5]"
006894.png,DontCare,"[553.43, 160.35, 579.15, 176.82]"
006589.png,Car,"[490.99, 171.67, 565.41, 200.91]"
002314.png,Misc,"[438.03, 156.66, 508.36, 227.33]"
006958.png,Car,"[333.09, 184.72, 422.83, 230.8]"
006967.png,Car,"[586.71, 170.85, 629.13, 204.53]"
006454.png,Car,"[0.0, 219.39, 115.02, 374.0]"
004511.png,Car,"[0.0, 187.08, 54.47, 262.89]"
003598.png,Car,"[590.05, 175.46, 632.65, 217.89]"
004581.png,Car,"[5.66, 202.08, 106.5, 237.11]"
003336.png,DontCare,"[0.0, 193.47, 13.88, 209.94]"
002084.png,DontCare,"[1220.5, 151.42, 1240.0, 194.41]"
007014.png,Car,"[215.54, 198.23, 382.79, 285.37]"
001062.png,Pedestrian,"[1053.31, 133.68, 1180.96, 322.11]"
005003.png,DontCare,"[622.06, 177.1, 634.6, 187.56]"
005391.png,DontCare,"[779.54, 156.24, 799.1, 181.96]"
003486.png,Car,"[758.17, 178.74, 959.72, 311.06]"
003463.png,DontCare,"[539.32, 165.65, 583.6, 194.41]"
001227.png,Car,"[724.82, 175.25, 855.94, 237.04]"
004467.png,Car,"[427.9, 193.81, 516.59, 257.27]"
000840.png,Pedestrian,"[859.37, 165.17, 891.75, 251.04]"
000966.png,Pedestrian,"[503.26, 143.48, 568.93, 324.2]"
006492.png,Car,"[559.22, 177.75, 614.89, 233.25]"
003138.png,Car,"[584.91, 174.46, 622.54, 211.69]"
005434.png,Pedestrian,"[837.34, 165.97, 916.01, 318.95]"
000484.png,Pedestrian,"[697.87, 170.52, 708.87, 205.57]"
006832.png,Tram,"[501.59, 123.14, 584.24, 205.85]"
005209.png,Car,"[597.07, 181.06, 663.33, 243.87]"
004610.png,Car,"[710.86, 170.44, 807.52, 200.41]"
006942.png,Car,"[0.0, 142.4, 253.76, 324.68]"
002920.png,Pedestrian,"[1060.77, 186.98, 1087.44, 229.72]"
002340.png,DontCare,"[430.0, 173.42, 455.52, 194.41]"
005932.png,Car,"[334.05, 187.86, 373.87, 208.24]"
002088.png,Cyclist,"[99.39, 183.43, 144.55, 225.12]"
002640.png,Car,"[540.57, 168.42, 595.77, 211.09]"
000724.png,Car,"[231.3, 158.56, 282.77, 190.59]"
004802.png,DontCare,"[824.15, 177.1, 864.82, 199.02]"
003980.png,Car,"[166.67, 187.64, 300.44, 229.36]"
004614.png,Car,"[451.82, 182.78, 496.63, 210.12]"
007156.png,Car,"[642.84, 167.63, 780.33, 224.57]"
001644.png,DontCare,"[1093.7, 170.83, 1240.0, 339.96]"
002600.png,Car,"[730.05, 173.97, 751.33, 187.96]"
007324.png,Cyclist,"[947.56, 151.88, 1008.09, 230.0]"
004875.png,Car,"[161.42, 167.07, 383.51, 239.0]"
006478.png,Pedestrian,"[508.07, 173.58, 523.74, 214.3]"
000603.png,Car,"[682.42, 176.25, 740.62, 223.78]"
000741.png,Car,"[488.63, 178.59, 548.66, 226.59]"
007031.png,Car,"[927.87, 186.96, 1241.0, 374.0]"
006500.png,DontCare,"[485.6, 166.69, 495.02, 176.11]"
003822.png,Car,"[32.6, 179.73, 355.42, 287.69]"
000445.png,Car,"[406.03, 178.47, 495.72, 218.4]"
003017.png,Car,"[228.22, 181.85, 288.39, 210.05]"
000895.png,DontCare,"[590.81, 176.06, 612.73, 194.85]"
003162.png,Pedestrian,"[699.98, 158.56, 792.32, 310.88]"
003020.png,Pedestrian,"[449.69, 164.62, 472.07, 215.95]"
000181.png,Car,"[192.6, 180.33, 398.55, 256.63]"
001603.png,Car,"[287.13, 185.13, 332.59, 211.42]"
004400.png,Pedestrian,"[1032.18, 151.92, 1089.5, 292.3]"
005626.png,Car,"[799.43, 174.25, 865.32, 201.55]"
005884.png,Car,"[597.37, 165.53, 621.4, 184.37]"
005099.png,Car,"[396.48, 184.9, 462.12, 221.41]"
000674.png,Car,"[276.19, 188.51, 412.89, 270.87]"
003903.png,Car,"[578.31, 172.62, 605.67, 193.36]"
005226.png,Pedestrian,"[644.88, 144.09, 661.88, 202.98]"
002571.png,Pedestrian,"[333.2, 171.23, 365.5, 261.36]"
006987.png,Car,"[1003.95, 197.19, 1241.0, 374.0]"
007465.png,Car,"[627.91, 187.33, 886.15, 287.87]"
003053.png,Car,"[0.0, 188.22, 220.95, 344.02]"
005038.png,Car,"[365.95, 171.67, 493.43, 222.05]"
001262.png,Pedestrian,"[196.03, 176.51, 215.03, 215.39]"
000146.png,Car,"[456.27, 174.77, 530.41, 203.38]"
002255.png,Car,"[910.33, 169.07, 947.37, 201.51]"
002667.png,Car,"[686.71, 177.71, 753.47, 227.43]"
001404.png,Pedestrian,"[639.15, 160.88, 651.48, 196.51]"
007021.png,Car,"[0.0, 199.01, 124.68, 337.28]"
002688.png,Car,"[670.43, 172.88, 762.96, 209.92]"
002569.png,Car,"[671.2, 163.51, 718.02, 190.14]"
000845.png,Car,"[365.72, 180.29, 449.34, 219.29]"
006589.png,Van,"[524.77, 157.89, 590.76, 192.07]"
005169.png,DontCare,"[725.19, 166.69, 738.77, 201.11]"
003347.png,Car,"[303.12, 183.34, 361.91, 213.45]"
003212.png,Van,"[791.79, 168.41, 825.25, 188.11]"
003329.png,DontCare,"[516.68, 172.12, 560.96, 193.11]"
004819.png,Car,"[742.78, 176.24, 805.61, 212.18]"
003772.png,Car,"[484.53, 187.22, 518.19, 213.58]"
007107.png,Car,"[517.38, 176.57, 553.81, 192.79]"
003847.png,DontCare,"[619.53, 168.89, 653.46, 219.64]"
004547.png,DontCare,"[576.35, 162.74, 595.73, 173.38]"
006684.png,Car,"[574.84, 183.22, 663.64, 268.05]"
007457.png,DontCare,"[239.77, 178.15, 284.6, 213.61]"
001476.png,DontCare,"[560.6, 167.73, 581.48, 186.52]"
004857.png,Car,"[271.52, 171.98, 344.15, 207.66]"
000178.png,Car,"[689.27, 179.07, 775.61, 243.6]"
001772.png,Car,"[717.45, 176.93, 914.92, 314.61]"
005063.png,Car,"[0.0, 185.66, 124.97, 275.12]"
002884.png,Car,"[394.18, 171.44, 478.03, 247.47]"
003444.png,Car,"[75.88, 185.57, 199.68, 232.7]"
003782.png,Car,"[0.0, 183.23, 235.02, 372.96]"
003219.png,Car,"[739.97, 179.71, 892.75, 237.1]"
000008.png,Car,"[334.85, 178.94, 624.5, 372.04]"
000878.png,DontCare,"[463.73, 177.1, 482.52, 191.72]"
005026.png,Pedestrian,"[334.04, 166.15, 367.13, 274.36]"
006143.png,Van,"[1122.78, 118.44, 1241.0, 285.48]"
001785.png,Pedestrian,"[181.49, 148.94, 198.81, 196.38]"
005772.png,Car,"[226.78, 179.05, 293.45, 210.14]"
002294.png,Pedestrian,"[684.73, 170.17, 731.39, 323.98]"
004098.png,DontCare,"[58.89, 185.24, 263.79, 235.1]"
001549.png,Pedestrian,"[261.32, 167.45, 336.08, 332.1]"
004390.png,DontCare,"[387.14, 183.12, 412.34, 198.62]"
001610.png,Car,"[518.1, 184.21, 548.86, 206.4]"
001518.png,Car,"[580.77, 178.03, 641.69, 236.93]"
001281.png,Car,"[482.7, 176.65, 504.86, 191.63]"
000591.png,Car,"[0.0, 200.34, 101.96, 374.0]"
001613.png,DontCare,"[456.52, 165.65, 573.9, 193.76]"
004491.png,Car,"[589.83, 174.64, 628.98, 205.98]"
003699.png,Car,"[537.19, 182.33, 567.17, 201.45]"
000942.png,Car,"[689.61, 170.7, 788.03, 238.54]"
006226.png,Pedestrian,"[489.8, 180.04, 501.47, 211.24]"
002631.png,Car,"[970.6, 182.83, 1045.52, 217.01]"
007006.png,DontCare,"[485.6, 168.77, 513.77, 187.56]"
006427.png,Pedestrian,"[579.81, 165.34, 682.69, 337.85]"
001591.png,Car,"[471.38, 185.11, 541.21, 243.56]"
006710.png,Car,"[369.65, 177.24, 482.5, 216.27]"
002556.png,Car,"[601.14, 177.04, 628.77, 204.34]"
000267.png,DontCare,"[134.56, 176.06, 198.14, 209.44]"
004022.png,Car,"[1146.68, 159.94, 1241.0, 207.68]"
004819.png,DontCare,"[610.6, 172.94, 629.39, 188.61]"
001658.png,DontCare,"[485.63, 170.18, 578.43, 189.88]"
006725.png,DontCare,"[534.56, 176.06, 584.6, 202.14]"
005063.png,DontCare,"[448.1, 170.85, 464.81, 189.64]"
002119.png,DontCare,"[851.76, 106.14, 1240.0, 184.71]"
001078.png,Car,"[344.24, 181.48, 478.26, 235.48]"
003709.png,Pedestrian,"[711.5, 147.29, 735.83, 220.2]"
000427.png,Car,"[0.0, 190.99, 78.19, 316.3]"
006523.png,Car,"[669.2, 173.1, 764.82, 215.99]"
000375.png,DontCare,"[590.9, 169.99, 643.07, 188.12]"
003061.png,Cyclist,"[718.47, 169.23, 754.21, 256.89]"
000010.png,DontCare,"[879.35, 165.65, 931.48, 182.36]"
000392.png,DontCare,"[600.19, 175.02, 609.61, 185.48]"
006439.png,DontCare,"[694.98, 176.06, 718.98, 185.48]"
002681.png,Car,"[29.33, 168.87, 181.65, 211.8]"
003885.png,Car,"[633.55, 173.01, 765.85, 262.66]"
000571.png,Pedestrian,"[0.0, 155.74, 116.14, 373.0]"
007156.png,Car,"[316.58, 191.42, 490.44, 318.67]"
004841.png,Car,"[252.32, 189.22, 361.4, 245.45]"
002818.png,Car,"[486.77, 183.01, 524.1, 211.22]"
002099.png,Car,"[548.76, 175.05, 571.19, 193.23]"
001591.png,Car,"[702.13, 188.71, 841.6, 283.67]"
006320.png,Car,"[424.64, 181.25, 463.31, 201.32]"
005751.png,DontCare,"[575.19, 178.15, 607.52, 193.82]"
004222.png,Car,"[645.46, 171.13, 678.74, 191.67]"
001868.png,Car,"[634.48, 180.64, 654.39, 197.06]"
003093.png,Car,"[652.6, 166.76, 694.44, 196.67]"
005598.png,Car,"[0.0, 182.62, 154.72, 304.58]"
000923.png,Pedestrian,"[331.66, 164.51, 367.32, 266.68]"
004711.png,Car,"[694.78, 162.11, 848.29, 264.21]"
006944.png,DontCare,"[655.4, 173.98, 695.02, 203.19]"
001318.png,Van,"[459.1, 168.69, 495.73, 202.43]"
006338.png,Van,"[163.67, 161.19, 413.87, 265.68]"
002606.png,DontCare,"[584.6, 153.36, 615.3, 177.59]"
002422.png,Car,"[690.06, 171.01, 715.95, 187.53]"
006720.png,DontCare,"[0.0, 166.69, 113.58, 373.0]"
003459.png,Car,"[594.53, 181.4, 659.14, 234.04]"
005602.png,Car,"[0.0, 215.89, 313.13, 374.0]"
006481.png,DontCare,"[564.77, 175.02, 573.14, 182.35]"
005383.png,Car,"[584.55, 181.0, 641.15, 227.1]"
004485.png,Car,"[586.68, 174.66, 612.84, 200.52]"
005782.png,Car,"[0.0, 190.99, 243.07, 303.49]"
004593.png,Car,"[689.94, 171.78, 853.15, 228.54]"
004101.png,DontCare,"[697.64, 180.21, 726.72, 192.79]"
002817.png,Car,"[748.85, 163.22, 874.31, 210.17]"
007388.png,Car,"[1126.94, 138.28, 1241.0, 206.4]"
003569.png,Car,"[0.0, 145.42, 301.83, 374.0]"
006962.png,DontCare,"[503.31, 177.1, 538.77, 190.68]"
004665.png,Cyclist,"[0.0, 170.45, 283.06, 373.0]"
002510.png,Car,"[267.34, 177.11, 337.17, 208.49]"
000800.png,Car,"[198.05, 196.39, 244.81, 230.67]"
000737.png,Car,"[378.27, 172.24, 511.34, 217.17]"
007108.png,Car,"[522.94, 167.04, 791.62, 281.89]"
007315.png,DontCare,"[518.94, 166.69, 598.15, 194.86]"
003215.png,Car,"[365.46, 172.37, 476.07, 242.44]"
000791.png,Car,"[1012.55, 174.87, 1223.0, 265.94]"
001896.png,DontCare,"[659.64, 167.59, 764.08, 176.29]"
001319.png,Cyclist,"[686.49, 163.8, 714.07, 235.83]"
004190.png,Car,"[317.67, 184.64, 421.14, 252.11]"
000920.png,Car,"[469.15, 184.41, 530.51, 227.54]"
000790.png,DontCare,"[500.19, 162.52, 525.23, 188.6]"
001991.png,Car,"[577.17, 172.23, 636.95, 226.72]"
006121.png,Pedestrian,"[899.82, 143.42, 999.56, 369.0]"
000015.png,DontCare,"[766.54, 168.32, 841.38, 261.86]"
000405.png,Car,"[172.64, 193.99, 243.81, 223.58]"
001143.png,Car,"[0.0, 195.0, 208.23, 300.74]"
006483.png,Car,"[0.0, 180.85, 228.42, 282.96]"
006564.png,Pedestrian,"[412.39, 168.84, 433.72, 233.01]"
004267.png,Car,"[320.49, 185.87, 369.48, 205.81]"
000867.png,Car,"[716.59, 167.38, 788.25, 199.08]"
003917.png,Car,"[0.0, 193.9, 202.99, 282.11]"
006233.png,Car,"[532.08, 174.75, 563.09, 198.36]"
004800.png,Van,"[608.44, 168.5, 623.94, 186.79]"
000787.png,Car,"[28.61, 184.43, 141.02, 226.65]"
007274.png,Car,"[455.95, 182.05, 489.15, 197.27]"
005122.png,Misc,"[454.17, 186.26, 487.51, 202.2]"
004126.png,Misc,"[390.8, 169.61, 423.92, 200.37]"
007260.png,DontCare,"[39.77, 142.73, 109.6, 373.0]"
003114.png,Cyclist,"[290.86, 170.02, 360.35, 231.75]"
004938.png,Car,"[147.77, 182.79, 398.58, 275.49]"
000348.png,Car,"[801.6, 200.59, 1241.0, 374.0]"
006766.png,Car,"[374.98, 185.38, 429.64, 204.64]"
004971.png,Car,"[672.06, 179.16, 847.94, 239.84]"
003607.png,DontCare,"[576.19, 170.83, 582.31, 176.95]"
006826.png,Car,"[656.19, 175.94, 685.39, 200.67]"
000544.png,Car,"[401.56, 179.24, 478.48, 212.62]"
002822.png,Cyclist,"[412.64, 169.72, 457.78, 261.78]"
003301.png,Car,"[481.17, 185.07, 526.32, 214.73]"
002926.png,Car,"[0.0, 181.12, 171.42, 258.33]"
002914.png,DontCare,"[719.15, 168.89, 787.37, 178.89]"
005346.png,Car,"[542.45, 181.48, 577.43, 208.56]"
003182.png,DontCare,"[540.61, 170.83, 582.95, 185.36]"
002638.png,Car,"[261.2, 180.3, 426.9, 246.87]"
006263.png,DontCare,"[524.15, 176.06, 589.82, 197.98]"
004819.png,Car,"[658.3, 177.81, 701.81, 210.78]"
005797.png,DontCare,"[716.85, 167.73, 755.43, 182.35]"
005209.png,Car,"[2.44, 187.75, 147.56, 246.08]"
006599.png,DontCare,"[521.02, 164.6, 565.85, 186.52]"
003982.png,Car,"[406.86, 188.68, 451.04, 221.47]"
004804.png,Pedestrian,"[177.08, 163.44, 209.74, 257.49]"
004325.png,Car,"[0.0, 213.49, 187.08, 365.75]"
000736.png,Cyclist,"[577.23, 177.03, 587.07, 200.88]"
000720.png,Pedestrian,"[400.45, 165.2, 421.73, 231.02]"
004876.png,Car,"[705.75, 169.76, 812.57, 250.6]"
001921.png,Van,"[548.12, 174.3, 581.24, 212.05]"
004528.png,Van,"[47.68, 167.23, 180.65, 225.86]"
000067.png,Tram,"[591.57, 158.36, 651.13, 188.67]"
000098.png,Misc,"[0.0, 0.0, 222.29, 375.0]"
001443.png,Car,"[636.9, 178.38, 663.39, 202.65]"
005000.png,Car,"[679.01, 175.65, 745.3, 224.51]"
004154.png,Car,"[790.8, 145.88, 873.23, 186.04]"
003994.png,DontCare,"[0.0, 181.18, 17.11, 222.87]"
002187.png,Car,"[0.0, 198.26, 302.43, 374.0]"
005352.png,Car,"[185.67, 195.16, 343.19, 278.91]"
003308.png,Car,"[716.57, 182.8, 857.21, 289.7]"
005074.png,Car,"[1001.31, 210.93, 1241.0, 374.0]"
000669.png,Car,"[391.96, 183.01, 454.34, 220.15]"
006219.png,Truck,"[741.14, 164.71, 830.35, 197.34]"
003903.png,Car,"[1087.02, 142.89, 1221.16, 181.05]"
005251.png,DontCare,"[523.1, 172.94, 589.81, 191.73]"
004171.png,Misc,"[833.34, 184.28, 897.54, 269.53]"
003293.png,Car,"[691.09, 177.39, 718.63, 201.62]"
006489.png,Car,"[903.25, 152.3, 1241.0, 320.53]"
003529.png,Car,"[0.0, 166.64, 275.58, 329.7]"
004795.png,Truck,"[7.01, 133.66, 312.15, 225.23]"
001443.png,Car,"[649.1, 182.96, 695.4, 220.94]"
001693.png,Pedestrian,"[1071.71, 141.08, 1148.37, 310.43]"
004233.png,Cyclist,"[0.0, 165.97, 101.59, 351.41]"
007462.png,Car,"[693.48, 179.68, 742.88, 217.96]"
001207.png,Pedestrian,"[756.22, 166.75, 769.11, 217.92]"
005403.png,Car,"[399.17, 180.39, 491.98, 218.36]"
001996.png,Car,"[381.47, 188.51, 472.84, 248.5]"
000341.png,Person_sitting,"[393.84, 191.47, 446.81, 282.87]"
002471.png,Car,"[514.08, 172.69, 571.37, 200.58]"
007421.png,DontCare,"[3.31, 167.73, 214.81, 245.9]"
001593.png,Car,"[470.51, 192.98, 554.49, 261.94]"
001052.png,Car,"[430.44, 181.84, 515.37, 214.78]"
001673.png,Car,"[982.17, 161.24, 1124.11, 221.28]"
006315.png,Van,"[417.77, 170.64, 503.7, 208.63]"
003472.png,Pedestrian,"[399.89, 164.01, 436.24, 253.27]"
004842.png,Car,"[956.15, 188.86, 1212.69, 374.0]"
002926.png,DontCare,"[703.62, 152.72, 756.31, 184.71]"
002253.png,Car,"[0.0, 190.51, 167.58, 275.52]"
001373.png,Car,"[569.99, 176.55, 620.15, 225.11]"
006371.png,Cyclist,"[588.5, 167.74, 603.14, 212.63]"
002355.png,DontCare,"[504.39, 182.47, 587.48, 209.93]"
004549.png,Car,"[182.6, 193.81, 374.57, 301.23]"
004256.png,Car,"[318.95, 185.17, 398.99, 228.67]"
000995.png,Car,"[462.18, 174.02, 503.05, 202.49]"
003672.png,Truck,"[609.84, 137.41, 675.06, 203.42]"
002298.png,DontCare,"[559.37, 164.36, 583.6, 187.94]"
004388.png,DontCare,"[576.35, 174.39, 631.63, 193.77]"
001857.png,Car,"[148.0, 179.17, 239.39, 214.91]"
001928.png,Car,"[185.71, 191.01, 337.38, 264.97]"
007365.png,Car,"[646.83, 176.72, 714.44, 207.08]"
002655.png,Car,"[552.96, 175.65, 575.09, 196.77]"
004800.png,Car,"[948.86, 188.53, 1241.0, 337.75]"
005508.png,Car,"[186.88, 179.04, 252.43, 210.75]"
005255.png,Car,"[689.56, 178.94, 792.98, 254.39]"
000296.png,Car,"[224.94, 186.16, 335.61, 238.74]"
004381.png,Car,"[363.66, 181.89, 420.52, 211.96]"
002288.png,Car,"[321.48, 182.87, 436.08, 225.48]"
004960.png,DontCare,"[425.99, 170.63, 444.52, 195.32]"
002070.png,DontCare,"[669.34, 165.65, 679.34, 173.06]"
007393.png,Car,"[393.59, 183.85, 507.81, 241.49]"
001035.png,Car,"[691.03, 178.26, 738.99, 214.08]"
000421.png,Car,"[215.03, 191.89, 299.47, 225.14]"
003775.png,DontCare,"[732.09, 155.3, 940.03, 160.77]"
004198.png,Car,"[451.11, 180.44, 481.73, 199.44]"
005118.png,Tram,"[1056.94, 0.0, 1241.0, 360.17]"
004961.png,Car,"[0.0, 147.24, 370.95, 374.0]"
007033.png,Car,"[581.69, 180.61, 629.34, 209.15]"
007377.png,Car,"[580.21, 178.56, 655.01, 250.6]"
001829.png,Car,"[934.38, 177.11, 971.43, 204.61]"
006984.png,Car,"[377.75, 185.05, 417.54, 205.02]"
002149.png,Cyclist,"[110.68, 158.15, 315.97, 374.0]"
006063.png,Car,"[146.88, 188.8, 300.27, 265.49]"
004071.png,Car,"[723.05, 173.31, 892.5, 250.44]"
000370.png,Car,"[0.0, 197.48, 184.21, 323.7]"
000615.png,Car,"[529.27, 173.91, 582.79, 206.66]"
007241.png,DontCare,"[650.19, 163.13, 665.81, 180.83]"
001413.png,Car,"[393.39, 180.37, 483.39, 242.79]"
001733.png,Cyclist,"[577.54, 180.23, 584.99, 198.17]"
000138.png,Car,"[307.38, 175.77, 355.18, 199.29]"
004983.png,Pedestrian,"[665.85, 168.27, 703.43, 273.96]"
001023.png,DontCare,"[636.35, 172.77, 738.85, 183.41]"
006765.png,Car,"[633.83, 167.12, 659.26, 192.6]"
003641.png,Car,"[569.75, 174.56, 594.48, 191.22]"
007000.png,Car,"[730.09, 184.58, 929.05, 322.8]"
007163.png,Car,"[870.39, 183.93, 1241.0, 374.0]"
001312.png,DontCare,"[573.6, 164.36, 581.66, 176.3]"
003199.png,Pedestrian,"[674.57, 132.44, 721.87, 262.13]"
005019.png,Car,"[259.79, 185.21, 363.44, 239.26]"
